,zcta,census_tract,GEOID,E_TOTPOP,LOCATION,ct_avg_new_positives,ct_avg_new_positives_percent,ct_first_positives,old_index,numpy_index,t_station,sub_output,sub_input,sub_input_prop,sub_output_prop,geometry,NEIGHBORS,random_R0
363,11201,4300,36047004300,3496,"Census Tract 43, Kings County, New York",13.333333333333336,36.60339219311383,204.0,449,449,,0.0,0.0,0.0,0.0,"POLYGON ((-73.993005 40.688364, -73.99236399999999 40.68969, -73.990686 40.689142, -73.99009599999999 40.689706, -73.989662 40.690334, -73.986155 40.689018, -73.98700000000001 40.687773, -73.98828899999999 40.685869, -73.99046799999999 40.686728, -73.993269 40.687825, -73.993005 40.688364))","36047007100, 36047003700, 36047004100, 36047000900, 36047006900, 36047004500",2.471012430400049
364,11209,4400,36047004400,2511,"Census Tract 44, Kings County, New York",31.19047619047618,43.72711381891349,209.0,450,450,,0.0,0.0,0.0,0.0,"POLYGON ((-74.04029150866219 40.6312079537752, -74.0395755857775 40.6333555467857, -74.03942056116 40.6338205826048, -74.0393851747986 40.63392673300719, -74.03692599999999 40.633639, -74.03315499999999 40.632735, -74.030473 40.632099, -74.03076399999999 40.631392, -74.03135999999999 40.629931, -74.03195699999999 40.628471, -74.03225599999999 40.627741, -74.034938 40.628375, -74.03761999999999 40.629013, -74.0410427721954 40.6289543474893, -74.04029150866219 40.6312079537752))","36047003800, 36047006600, 36047003600, 36047004600, 36047006400",3.7484195379421754
365,11201,4500,36047004500,3546,"Census Tract 45, Kings County, New York",13.333333333333336,36.60339219311383,204.0,451,451,,0.0,0.0,0.0,0.0,"POLYGON ((-73.997562 40.688, -73.99687399999999 40.689433, -73.996233 40.690758, -73.994361 40.690239, -73.99236399999999 40.68969, -73.993005 40.688364, -73.993269 40.687825, -73.99333799999999 40.687679, -73.99360399999999 40.687127, -73.99392999999999 40.686453, -73.994091 40.686114, -73.99440799999999 40.685453, -73.996358 40.686096, -73.998189 40.6867, -73.997562 40.688))","36047000700, 36047004300, 36047000900, 36047006900, 36047006700, 36047004900",3.7877733836864262
366,11209,4600,36047004600,1306,"Census Tract 46, Kings County, New York",31.19047619047618,43.72711381891349,209.0,452,452,,0.0,0.0,0.0,0.0,"POLYGON ((-74.0415843352794 40.6273297911038, -74.04121600165119 40.6284347016219, -74.0410427721954 40.6289543474893, -74.03761999999999 40.629013, -74.034938 40.628375, -74.03225599999999 40.627741, -74.026856 40.626459, -74.02713899999999 40.625762, -74.027153 40.625727, -74.029871 40.626374, -74.032555 40.62701, -74.033108 40.625647, -74.03578899999999 40.626285, -74.03642599999999 40.624734, -74.039109 40.625372, -74.040716 40.62572, -74.04198616398639 40.6261244035665, -74.0415843352794 40.6273297911038))","36047006200, 36047013800, 36047004400, 36047005000, 36047006400",3.514029020370283
367,11201,4700,36047004700,1903,"Census Tract 47, Kings County, New York",11.571428571428573,41.44601281740656,331.0,453,453,,0.0,0.0,0.0,0.0,"POLYGON ((-74.0082201392615 40.6867096862291, -74.007379 40.687255, -74.004593 40.688215, -74.00381999999999 40.68893, -74.002993 40.690427, -74.001963 40.690136, -74.000699 40.690612, -74.001969 40.691843, -74.001744 40.692407, -74.000315 40.691875, -73.997793 40.691188, -73.99907 40.688498, -73.999696 40.687198, -74.000642 40.685247, -74.004504 40.686301, -74.004853 40.685668, -74.00549699999999 40.685847, -74.008135 40.685615, -74.0086810145427 40.6864108990377, -74.0082201392615 40.6867096862291))","36047000700, 36047005100, 36047005300, 36047006300, 36061000500, 36047004900",3.502289857320669
368,11231,4900,36047004900,2718,"Census Tract 49, Kings County, New York",11.571428571428573,41.44601281740656,331.0,456,455,,0.0,0.0,0.0,0.0,"POLYGON ((-73.999696 40.687198, -73.99907 40.688498, -73.997793 40.691188, -73.996233 40.690758, -73.99687399999999 40.689433, -73.997562 40.688, -73.998189 40.6867, -73.99908099999999 40.684816, -74.000642 40.685247, -73.999696 40.687198))","36047000700, 36047005100, 36047004700, 36047006300, 36047006700, 36047004500",2.0515148475440377
369,11209,5000,36047005000,2320,"Census Tract 50, Kings County, New York",31.19047619047618,43.72711381891349,209.0,457,457,,0.0,0.0,0.0,0.0,"POLYGON ((-74.04201162652561 40.626048022196, -74.0419869662144 40.62612199707939, -74.04198616398639 40.6261244035665, -74.040716 40.62572, -74.039109 40.625372, -74.03642599999999 40.624734, -74.03578899999999 40.626285, -74.033108 40.625647, -74.033389 40.624968, -74.033742 40.624099, -74.034043 40.623363, -74.034323 40.62268299999999, -74.03460099999999 40.622001, -74.03996099999999 40.623276, -74.040291 40.622546, -74.04181921329939 40.622344566278, -74.0418612425826 40.6225219918099, -74.04186498283079 40.6225377811708, -74.042412 40.624847, -74.04201162652561 40.626048022196))","36047006200, 36047006000, 36047005201, 36047004600",3.0443301512977325
370,11231,5100,36047005100,2791,"Census Tract 51, Kings County, New York",9.80952380952381,46.2886334416993,127.0,458,458,,0.0,0.0,0.0,0.0,"POLYGON ((-74.005819 40.683656, -74.005179 40.684998, -74.004853 40.685668, -74.004504 40.686301, -74.000642 40.685247, -74.00128099999999 40.683909, -74.001609 40.683235, -74.00195699999999 40.682593, -74.00334599999999 40.67963, -74.00343099999999 40.679708, -74.00447299999999 40.680993, -74.00606499999999 40.683202, -74.005819 40.683656))","36047005300, 36047004700, 36047005900, 36047006300, 36047004900",2.585920523315275
371,11209,5201,36047005201,1666,"Census Tract 52.01, Kings County, New York",31.19047619047618,43.72711381891349,209.0,459,459,,0.0,0.0,0.0,0.0,"POLYGON ((-74.04181921329939 40.622344566278, -74.040291 40.622546, -74.03996099999999 40.623276, -74.03460099999999 40.622001, -74.034886 40.62132, -74.035437 40.61995599999999, -74.038095 40.620585, -74.040475 40.62079, -74.04139910596029 40.6205710940132, -74.04142132889621 40.6206649075623, -74.04162879771781 40.6215407318258, -74.04181921329939 40.622344566278))","36047006000, 36047005000, 36047005202, 36047005800",3.3849003545173755
372,11209,5202,36047005202,2299,"Census Tract 52.02, Kings County, New York",31.19047619047618,43.72711381891349,209.0,460,460,,0.0,0.0,0.0,0.0,"POLYGON ((-74.04139910596029 40.6205710940132, -74.040475 40.62079, -74.038095 40.620585, -74.035437 40.61995599999999, -74.03599 40.618596, -74.036895 40.618663, -74.03918299999999 40.617856, -74.04056574715889 40.6170530913903, -74.0409710419105 40.6187640327003, -74.0410042130619 40.6189040638579, -74.04139910596029 40.6205710940132))","36047005400, 36047005201, 36047005800",2.7525143878601037
373,11231,5300,36047005300,2245,"Census Tract 53, Kings County, New York",9.80952380952381,46.2886334416993,127.0,461,461,,0.0,0.0,0.0,0.0,"POLYGON ((-74.0194315835348 40.67944126441829, -74.01527113314791 40.68213850017109, -74.01514529702548 40.6822200802062, -74.01211318252101 40.6841858115304, -74.0086810145427 40.6864108990377, -74.008135 40.685615, -74.00549699999999 40.685847, -74.004853 40.685668, -74.005179 40.684998, -74.005819 40.683656, -74.00662299999999 40.683658, -74.00671299999999 40.683615, -74.006919 40.683451, -74.00920000000001 40.681496, -74.010451 40.680431, -74.0117 40.679365, -74.011055 40.678926, -74.00954399999999 40.677898, -74.01141199999999 40.676319, -74.00961099999999 40.675121, -74.007711 40.674625, -74.006005 40.674146, -74.002608 40.673182, -74.002016 40.674482, -74.00135399999999 40.675791, -74.00121299999999 40.67587, -73.99992399999999 40.674004, -73.998863 40.67216699999999, -73.99861899999999 40.67183, -73.999021 40.671429, -74.000175 40.668601, -74.001454 40.667633, -74.01780000000001 40.662544, -74.01866096053919 40.6625189360408, -74.020467 40.67877, -74.0194315835348 40.67944126441829))","36047005100, 36047006500, 36047007700, 36047004700, 36047005900, 36047001800, 36047008500, 36047011900",2.5673807842168856
374,11209,5400,36047005400,3177,"Census Tract 54, Kings County, New York",31.19047619047618,43.72711381891349,209.0,462,462,BAY RIDGE-95 ST,549.7142857000001,438.5714286000001,0.0007266409778595603,0.0010421683203447087,"POLYGON ((-74.04056574715889 40.6170530913903, -74.03918299999999 40.617856, -74.036895 40.618663, -74.03599 40.618596, -74.03331299999999 40.617945, -74.030485 40.616518, -74.031515 40.61533, -74.033866 40.616594, -74.03592499999999 40.617055, -74.03568199999999 40.616671, -74.037975 40.615859, -74.038364 40.616513, -74.04024720753189 40.6157083845955, -74.04056574715889 40.6170530913903))","36047016000, 36047005202, 36047005800, 36047016200, 36047005601",2.8868039716386544
375,11209,5601,36047005601,2462,"Census Tract 56.01, Kings County, New York",31.19047619047618,43.72711381891349,209.0,463,463,,0.0,0.0,0.0,0.0,"POLYGON ((-74.04024720753189 40.6157083845955, -74.038364 40.616513, -74.037975 40.615859, -74.03568199999999 40.616671, -74.03592499999999 40.617055, -74.033866 40.616594, -74.031515 40.61533, -74.031947 40.614815, -74.03263699999999 40.61401, -74.03457899999999 40.61486, -74.03706799999999 40.613819, -74.0392655790145 40.6126282788836, -74.03958999999999 40.612934, -74.03959898735479 40.6129719398858, -74.0396105002328 40.6130205412023, -74.0396194803355 40.61305845047379, -74.0399350595923 40.6143906601431, -74.04024720753189 40.6157083845955))","36047005602, 36047005400, 36047016200",2.816575016634979
