,STATION,X,Y,LINE
93,59TH ST - COLUMBUS CIRCLE,-73.98192900232715,4.0,2-Jan
352,59TH ST - COLUMBUS CIRCLE,-73.98164872301398,4.0,A-B-C-D
141,5TH AVE - 53RD ST,-73.9752485052734,4.0,E-M
355,5TH AVE - 59TH ST,-73.97334700047045,4.0,N-R-W
465,5TH AVE - BRYANT PK,-73.98196299856706,4.0,7-7 Express
322,62ND ST,-73.99685724994863,4.0,D
190,63RD DR - REGO PARK,-73.86161820097203,4.0,E-M-R
8,65TH ST,-73.8987883783301,4.0,E-M-R
87,66TH ST - LINCOLN CTR,-73.98220899995783,4.0,2-Jan
66,67TH AVE,-73.85286048434907,4.0,E-M-R
101,68TH ST - HUNTER COLLEGE,-73.96387000158042,4.0,4-6-6 Express
229,69TH ST,-73.8964029993185,4.0,7
441,6TH AVE,-73.99775078874781,4.0,L
319,71ST ST,-73.99884094850685,4.0,D
470,72ND ST,-73.95836178682246,4.0,Q
161,72ND ST,-73.98197000159583,4.0,1/2/03
55,72ND ST,-73.976336575218,4.0,A-B-C
230,74TH ST - BROADWAY,-73.8912051289911,4.0,7
163,75TH AVE,-73.83692369387158,4.0,E-F
228,75TH ST - ELDERT LN,-73.86728799944963,4.0,J-Z
33,77TH ST,-73.95987399886047,4.0,4-6-6 Express
308,77TH ST,-74.0255099996266,4.0,R
318,79TH ST,-74.00058287431507,4.0,D
192,79TH ST,-73.97991700056134,4.0,2-Jan
107,7TH AVE,-73.98025117900944,4.0,F-G
119,7TH AVE,-73.97285279191024,4.0,B-Q
347,7TH AVE,-73.98169782344476,4.0,B-D-E
464,80TH ST,-73.85899200206335,4.0,A-S
162,81ST ST,-73.97209794937208,4.0,A-B-C
239,82ND ST - JACKSON HTS,-73.88369700071884,4.0,7
206,85TH ST - FOREST PKY,-73.86008700006875,4.0,J
450,86TH ST,-73.95558899985132,4.0,4-5-6-6 Express
471,86TH ST,-73.95177090964917,4.0,Q
317,86TH ST,-74.0283979999864,4.0,R
164,86TH ST,-73.96882849429672,4.0,A-B-C
85,86TH ST,-73.97621799859327,4.0,2-Jan
459,88TH ST,-73.85147000026086,4.0,A-S
442,8TH AVE,-74.00257800104762,4.0,L
76,8TH AVE,-74.01151599772157,4.0,N
400,8TH ST - NYU,-73.99250799849149,4.0,N-Q-R-W
240,90TH ST - ELMHURST AV,-73.87661299986985,4.0,7
157,96TH ST,-73.97232299915696,4.0,1/2/03
472,96TH ST,-73.9470660219183,4.0,Q
32,96TH ST,-73.9510700015425,4.0,4-6-6 Express
56,96TH ST,-73.96460245687166,4.0,A-B-C
389,9TH AVE,-73.99444874451204,4.0,D
224,ALABAMA AVE,-73.89852600159652,4.0,J
256,ALLERTON AVE,-73.86723422851625,4.0,5-Feb
242,AQUEDUCT - NORTH CONDUIT AV,-73.83405799948723,4.0,A
123,AQUEDUCT RACETRACK,-73.83591899965162,4.0,A
0,ASTOR PL,-73.99106999861966,4.0,4-6-6 Express
251,ASTORIA - DITMARS BLVD,-73.9120340001031,4.0,N-W
250,ASTORIA BLVD,-73.91809500109238,4.0,N-W
115,ATLANTIC AV - BARCLAY'S CENTER,-73.97754993539385,4.0,2-3-4-5
120,ATLANTIC AV - BARCLAY'S CENTER,-73.97678343963167,4.0,B-Q
121,ATLANTIC AV - BARCLAY'S CENTER,-73.97880999956767,4.0,D-N-Q-R
193,ATLANTIC AVE,-73.9030969995401,4.0,L
343,AVE H,-73.96151793942495,4.0,Q
341,AVE I,-73.97606933170925,4.0,F
342,AVE J,-73.96069316246925,4.0,Q
339,AVE M,-73.9592431052215,4.0,Q
337,AVE N,-73.97404850873143,4.0,F
336,AVE P,-73.97300281528751,4.0,F
324,AVE U,-73.97337641974885,4.0,F
328,AVE U,-73.95581122316301,4.0,Q
330,AVE U,-73.97908400099428,4.0,N
333,AVE X,-73.97426599968905,4.0,F
334,BAY 50TH ST,-73.98376500045946,4.0,D
313,BAY PKY,-73.9936762000529,4.0,D
340,BAY PKY,-73.98178001069293,4.0,N
338,BAY PKY,-73.9752569782215,4.0,F
316,BAY RIDGE - 95TH ST,-74.03087600085765,4.0,R
309,BAY RIDGE AVE,-74.02337699950728,4.0,R
276,BAYCHESTER AVE,-73.83859099802153,4.0,5
15,BEACH 105TH ST,-73.82758075034528,4.0,A-S
185,BEACH 25TH ST,-73.76135299762073,4.0,A
184,BEACH 36TH ST,-73.76817499939688,4.0,A
180,BEACH 44TH ST,-73.77601299999507,4.0,A
181,BEACH 60TH ST,-73.7885219980118,4.0,A
204,BEACH 67TH ST,-73.7969239998421,4.0,A
16,BEACH 90TH ST,-73.81365140419632,4.0,A-S
182,BEACH 98TH ST,-73.82052058959523,4.0,A-S
105,BEDFORD - NOSTRAND AVES,-73.95352200064022,4.0,G
150,BEDFORD AVE,-73.95666499806525,4.0,L
264,BEDFORD PARK BLVD,-73.88713799889574,4.0,B-D
259,BEDFORD PARK BLVD - LEHMAN COLLEGE,-73.89006400069478,4.0,4
375,BERGEN ST,-73.99075649573565,4.0,F-G
3,BERGEN ST,-73.97499915116808,4.0,2/3/04
110,BEVERLY RD,-73.96435779623125,4.0,Q
129,BEVERLY RD,-73.94884798381702,4.0,5-Feb
456,BLEECKER ST,-73.99465900006331,4.0,4-6-6 Express
122,BOROUGH HALL,-73.99015100090539,4.0,5-Apr
405,BOROUGH HALL,-73.98999799960687,4.0,3-Feb
280,BOTANIC GARDEN,-73.95924499945693,4.0,S
433,BOWERY,-73.99380690654237,4.0,J-Z
418,BOWLING GREEN,-74.01400799803432,4.0,5-Apr
243,BRIARWOOD - VAN WYCK BLVD,-73.82069263637443,4.0,E-F
326,BRIGHTON BEACH,-73.96135378598797,4.0,B-Q
98,BROAD CHANNEL,-73.81583268782963,4.0,A-S
427,BROAD ST,-74.01105599991755,4.0,J-Z
78,BROADWAY,-73.92582299919906,4.0,N-W
70,BROADWAY,-73.95031225606621,4.0,G
432,BROADWAY - LAFAYETTE ST,-73.99620399876055,4.0,B-D-F-M
282,BROADWAY JUNCTION,-73.90311757920684,4.0,L
223,BROADWAY JUNCTION,-73.90428999746412,4.0,J-Z
385,BROADWAY JUNCTION,-73.90531600055341,4.0,A-C
43,BRONX PARK EAST,-73.86835609178098,4.0,5-Feb
291,BROOK AVE,-73.91923999909432,4.0,6
28,BROOKLYN BRIDGE - CITY HALL,-74.0041310005885,4.0,4-5-6-6 Express
132,BROOKLYN COLLEGE - FLATBUSH AVE,-73.94754120734406,4.0,5-Feb
25,BUHRE AVE,-73.83256900003744,4.0,6-6 Express
275,BURKE AVE,-73.86705361747603,4.0,5-Feb
174,BURNSIDE AVE,-73.9076840015997,4.0,4
281,BUSHWICK - ABERDEEN,-73.90526176305106,4.0,L
89,CANAL ST,-74.0062770001748,4.0,2-Jan
416,CANAL ST,-74.0018260000577,4.0,R-W
414,CANAL ST,-73.99982638545937,4.0,J-Z
1,CANAL ST,-74.00019299927328,4.0,4-6-6 Express
434,CANAL ST,-74.00105471306033,4.0,N-Q
409,CANAL ST - HOLLAND TUNNEL,-74.0052290023424,4.0,A-C-E
218,CANARSIE - ROCKAWAY PKWY,-73.90185000017287,4.0,L
393,CARROLL ST,-73.99494697998841,4.0,F-G
27,CASTLE HILL AVE,-73.85122199961472,4.0,6-6 Express
165,CATHEDRAL PKWY (110TH ST),-73.9668470005456,4.0,1
6,CATHEDRAL PKWY (110TH ST),-73.95806670661364,4.0,A-B-C
301,CENTRAL AVE,-73.92724299902838,4.0,M
159,CENTRAL PARK NORTH (110TH ST),-73.95182200176913,4.0,3-Feb
360,CHAMBERS ST,-74.00858473570133,4.0,A-C
413,CHAMBERS ST,-74.00340673031336,4.0,J-Z
403,CHAMBERS ST,-74.00926600170112,4.0,1/2/03
34,CHAUNCEY ST,-73.91038357033376,4.0,J-Z
194,CHRISTOPHER ST - SHERIDAN SQ,-74.00290599855235,4.0,2-Jan
